name: AOE II: The Conquerors Europe 1v1 Room v1.0C id:65543   sid:6   server:203.117.124.16  gid:1021  game:AOE II        ml:1  
name: CS 1.6 Taiwan Room 2                      id:65573   sid:6   server:203.117.124.16  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Malaysia Tournament Room           id:65574   sid:6   server:203.117.124.16  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Malaysia Room 02                   id:65575   sid:6   server:203.117.124.16  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Pakistan Room                      id:65576   sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: Brazil DotA High Level Room 03            id:65578   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:12 
name: Brazil DotA High Level Room 02            id:65579   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:15 
name: China v1.08 Room                          id:65585   sid:1   server:203.117.124.14  gid:1017  game:Red Alert 3   ml:1  
name: Ali213.Net v1.08 Room                     id:65601   sid:1   server:203.117.124.14  gid:1017  game:Red Alert 3   ml:1  
name: Ali213.Net v1.08 Room 02                  id:65604   sid:1   server:203.117.124.14  gid:1017  game:Red Alert 3   ml:1  
name: Romania DotA Room 15                      id:65656   sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:1  
name: Venezuela DotA Room 11                    id:65677   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:10 
name: North America Room                        id:65679   sid:1   server:203.117.124.14  gid:1004  game:CS 1.5        ml:1  
name: SCBW Europe Public Room 01                id:65680   sid:1   server:203.117.124.14  gid:1006  game:Starcraft     ml:1  
name: Europe Room 01                            id:65696   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: ESVN Ladder Seasons                       id:65697   sid:1   server:203.117.124.14  gid:1006  game:Starcraft     ml:1  
name: Arena Cyber League Room                   id:65698   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:3  
name: ASEAN DotA Room 02                        id:65699   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: GosuArena DotA Tournament Room            id:65701   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Czech and Slovakia DotA High Level Room 03 id:65703   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:5  
name: Deportes Electronicos Cup Room            id:65705   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: SCBW International Room 01                id:65707   sid:1   server:203.117.124.14  gid:1006  game:Starcraft     ml:1  
name: ESL Pro Series Room                       id:65710   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: ESWC Online Qualifier Room                id:65711   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Esports Charity                           id:65712   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Fit 4 Gaming Tournament Room 01           id:65713   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Fit 4 Gaming Tournament Room 02           id:65714   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Garena Community Tournament Room 01       id:65716   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Garena Community Tournament Room 02       id:65717   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Georgia DotA Room 01 [Moderated]          id:65720   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:15 
name: Wicked Inhouse League Room                id:65721   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:5  
name: GoodGame.ru Team Room 1                   id:65722   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: GoodGame.ru Team Room 2                   id:65723   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: GosuArena Seasonal Tournament Room        id:65724   sid:6   server:203.117.124.16  gid:1012  game:WC3/RPG*      ml:1  
name: India DotA Clan War Room 01               id:65725   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Italian Inhouse League Room               id:65729   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Kazakhstan OSPL Room                      id:65731   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:0  
name: LowLandLions WC3 Cup Room                 id:65732   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Malaysia Room 05                          id:65733   sid:6   server:203.117.124.16  gid:1000  game:WC3/TFT       ml:1  
name: Mongolia DotA Room 05 [Moderated] + Hostbot id:65736   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:8  
name: NiceGameTV War3 League                    id:65737   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Cambodia Digi Dota Room 01                id:65749   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Russia Room 02                            id:65750   sid:3   server:203.117.124.12  gid:1000  game:WC3/TFT       ml:1  
name: Spain DotA Room                           id:65751   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Taiwan ESM Room                           id:65754   sid:6   server:203.117.124.16  gid:1000  game:WC3/TFT       ml:1  
name: Ukraine DotA High Level Room 01 (1.26a)   id:65759   sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:10 
name: Venezuela DotA Room 05                    id:65762   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Venezuela DotA Room 06                    id:65763   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Venezuela DotA Room 07                    id:65764   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Age of Empires II: The Conquerors Taiwan Room 01 id:65765   sid:6   server:203.117.124.16  gid:1021  game:AOE II        ml:1  
name: TriniGamers AOE II Room                   id:65766   sid:1   server:203.117.124.14  gid:1021  game:AOE II        ml:1  
name: Age of Empires I: The Rise of Rome Taiwan Room id:65767   sid:6   server:203.117.124.16  gid:1020  game:AOE I         ml:1  
name: TriniGamers COD4 Room                     id:65768   sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: TriniGamers CSS Room                      id:65769   sid:1   server:203.117.124.14  gid:1016  game:CS Source     ml:1  
name: TriniGamers SCBW Room                     id:65770   sid:1   server:203.117.124.14  gid:1006  game:Starcraft     ml:1  
name: 1.15/1.16 Taiwan Room 02                  id:65771   sid:6   server:203.117.124.16  gid:1006  game:Starcraft     ml:1  
name: 1.15/1.16 Taiwan Room 01                  id:65772   sid:6   server:203.117.124.16  gid:1006  game:Starcraft     ml:1  
name: TriniGamers CS1.6 Room                    id:65773   sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Arabia Room                        id:65774   sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: CS 1.6 Bulgaria Room                      id:65775   sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: Romania DotA Room 12                      id:65862   sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:1  
name: Romania DotA Room 13                      id:65863   sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:1  
name: Mineski StarCraft Room                    id:65876   sid:3   server:203.117.124.12  gid:1006  game:Starcraft     ml:1  
name: TriniGamers DotA Room 2                   id:65882   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: TriniGamers DotA Room 1                   id:65884   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Garena Tournament Room 2                  id:65905   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: SCBW USA Room                             id:65922   sid:1   server:203.117.124.14  gid:1006  game:Starcraft     ml:1  
name: Algeria DotA Room 01                      id:65923   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:3  
name: India DotA Room 04                        id:65924   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Europa IHAL Room                          id:65930   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Estonia and Finland DotA Room 01          id:65931   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Israel DotA Room 01                       id:65932   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Europe RPG Room 03                        id:65933   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: IHPA Room                                 id:65935   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Gaming-United.org Tournament Room         id:65936   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Europe RPG Room 05                        id:65937   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Europe RPG Vampirism Fire Room            id:65938   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: DotA For Kids Room                        id:65939   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Kingdom DotA Room                         id:65940   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Portugal DotA Room 01                     id:65941   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: MWC DotA League Room                      id:65946   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:5  
name: ESL DotA Tournament Room 2                id:65948   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Dawn Of War Europe Room                   id:65949   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: TriniGamers Warcraft III Room             id:65950   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Germany Room                              id:65951   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Wicked Cup Tournament Room 2              id:65952   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Wicked Cup Tournament Room 1              id:65953   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Garena TFT Tournament Room 2              id:65954   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Garena TFT Tournament Room 1              id:65955   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Europe Room 05                            id:65956   sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: North America COOP Room 01                id:65957   sid:1   server:203.117.124.14  gid:1026  game:COD5          ml:1  
name: Australia Room 01                         id:65958   sid:1   server:203.117.124.14  gid:1026  game:COD5          ml:1  
name: ASEAN Room                                id:65959   sid:1   server:203.117.124.14  gid:1026  game:COD5          ml:1  
name: South America Room                        id:65960   sid:1   server:203.117.124.14  gid:1026  game:COD5          ml:1  
name: Dawn Of War Korea Room                    id:65961   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Dawn Of War Australia Room                id:65962   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Dota.kz Room                              id:65963   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: CS Source Europe Public Room              id:65964   sid:1   server:203.117.124.14  gid:1016  game:CS Source     ml:1  
name: CS Source Korea Room                      id:65965   sid:1   server:203.117.124.14  gid:1016  game:CS Source     ml:1  
name: CS Source Australia Room                  id:65966   sid:1   server:203.117.124.14  gid:1016  game:CS Source     ml:1  
name: CS Source International Room 01           id:65967   sid:1   server:203.117.124.14  gid:1016  game:CS Source     ml:1  
name: CS Source Malaysia Room                   id:65968   sid:6   server:203.117.124.16  gid:1016  game:CS Source     ml:1  
name: Korea Room                                id:65969   sid:1   server:203.117.124.14  gid:1017  game:Red Alert 3   ml:1  
name: Australia Room                            id:65970   sid:1   server:203.117.124.14  gid:1017  game:Red Alert 3   ml:1  
name: SCBW Korea Room                           id:65971   sid:1   server:203.117.124.14  gid:1006  game:Starcraft     ml:1  
name: South America Room                        id:65978   sid:1   server:203.117.124.14  gid:1004  game:CS 1.5        ml:1  
name: South America Room                        id:65979   sid:1   server:203.117.124.14  gid:1017  game:Red Alert 3   ml:1  
name: Peru DotA Room 14                         id:66014   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: eSports-Host DotA Room                    id:66054   sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Singapore Room 01                         id:66059   sid:1   server:203.117.124.14  gid:1017  game:Red Alert 3   ml:1  
name: SCBW International Room 02                id:66064   sid:1   server:203.117.124.14  gid:1006  game:Starcraft     ml:1  
name: SCBW Europe Public Room 02                id:66065   sid:1   server:203.117.124.14  gid:1006  game:Starcraft     ml:1  
name: SCBW Canada Room                          id:66066   sid:1   server:203.117.124.14  gid:1006  game:Starcraft     ml:1  
name: SCBW Australia Room                       id:66067   sid:1   server:203.117.124.14  gid:1006  game:Starcraft     ml:1  
name: MWC Tournament Room                       id:66070   sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Gameserver DotA Channel                   id:130762  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Ecuador DotA Room 01                      id:130764  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Ecuador DotA Room 05                      id:130765  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Sanguo Room 01                            id:130766  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Twilight Eve RPG Room                     id:130767  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: CS 1.6 Indian Room 3                      id:130770  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: Brazil DotA BYS Room                      id:130776  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Indonesia DotA Room 03                    id:130778  sid:6   server:203.117.124.16  gid:1001  game:WC3/RPG       ml:1  
name: Nepal DotA Room 01                        id:130779  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Nepal DotA Room 02                        id:130780  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Indian Professional Counter-Strike League id:130783  sid:1   server:203.117.124.14  gid:1003  game:CS 1.6        ml:1  
name: EDL DotA League ROOM                      id:130787  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Vietnam MST DotA Clan War Room            id:130842  sid:16  server:203.162.56.76   gid:1016  game:CS Source     ml:1  
name: CS Source Viet Nam Room 01                id:130843  sid:16  server:203.162.56.76   gid:1016  game:CS Source     ml:1  
name: CS 1.6 Vietnam Room 02                    id:130844  sid:16  server:203.162.56.76   gid:1003  game:CS 1.6        ml:1  
name: Korea Room 05                             id:130847  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:1  
name: Russia High Level Room                    id:130848  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:10 
name: Korea Room 03                             id:130851  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:2  
name: India DotA Room 09                        id:130853  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Russia High Level Room                    id:130854  sid:3   server:203.117.124.12  gid:1029  game:Left 4 Dead   ml:10 
name: Argentina DotA Room 02 [Moderada]         id:130857  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:10 
name: CoD4 1.7 Russia Room 03                   id:130858  sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: Mongolia TFT ROOM 01 (v1.24b)             id:130861  sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:5  
name: Uruguay DotA Room 01                      id:130864  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Mongolia Tournament Room                  id:130865  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Lebanon DotA Room 01                      id:130866  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Philippines ROOM (v1.24e)                 id:130871  sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:5  
name: Europe JFA Room                           id:130874  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: ChinaNet Room 01                          id:130875  sid:1   server:203.117.124.14  gid:1030  game:unknown       ml:1  
name: Taiwan Room                               id:130876  sid:6   server:203.117.124.16  gid:1030  game:unknown       ml:1  
name: International Room                        id:130877  sid:1   server:203.117.124.14  gid:1030  game:unknown       ml:1  
name: Europe Room                               id:130878  sid:1   server:203.117.124.14  gid:1030  game:unknown       ml:1  
name: European DotA Championship Room           id:130879  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: GDL :: GameBend.com Test Games :: VouchGame.com Room id:130888  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: GDL :: GameBend.com DotA League Invite Room id:130889  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Russia Room 01                            id:130895  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:3  
name: Europe RPG Room 09 (Castle Fight)         id:130896  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Ecuador Masters League Room               id:130897  sid:1   server:203.117.124.14  gid:1016  game:CS Source     ml:1  
name: Canada DotA Clan War Room                 id:130900  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: OK Room                                   id:130902  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Mongolia DotA Room 01 [Moderated]         id:130910  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Mongolia DotA Room 13                     id:130911  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: 1.7 Philippines Room 02                   id:130912  sid:3   server:203.117.124.12  gid:1018  game:COD4          ml:1  
name: Europe Room 03                            id:130913  sid:1   server:203.117.124.14  gid:1017  game:Red Alert 3   ml:1  
name: Thailand Room 03                          id:130914  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:1  
name: Philippines Room 01                       id:130915  sid:1   server:203.117.124.14  gid:1026  game:COD5          ml:1  
name: Canada Room 02                            id:130916  sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Argentina DotA Room 03 [Moderada]         id:130917  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:7  
name: North America Room 02                     id:130919  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:1  
name: Vietnam Room                              id:130920  sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: Algeria DotA Room 02                      id:130924  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: The Black Road Room 01                    id:130928  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Taiwan Room 01                            id:130932  sid:6   server:203.117.124.16  gid:1034  game:unknown       ml:1  
name: USA Room 01                               id:130934  sid:1   server:203.117.124.14  gid:1034  game:unknown       ml:1  
name: International Room 01                     id:130937  sid:1   server:203.117.124.14  gid:1034  game:unknown       ml:1  
name: ASEAN Room 01                             id:130939  sid:1   server:203.117.124.14  gid:1034  game:unknown       ml:1  
name: Korea Room 01                             id:130940  sid:1   server:203.117.124.14  gid:1034  game:unknown       ml:1  
name: South America Room 01                     id:130941  sid:1   server:203.117.124.14  gid:1034  game:unknown       ml:1  
name: Europe Room 01                            id:130942  sid:1   server:203.117.124.14  gid:1034  game:unknown       ml:1  
name: Russia FarEast DotA Room 01 (1.26a)       id:130951  sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:1  
name: Ecuador RPG Room 01                       id:130952  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Ukraine Room 1                            id:130956  sid:1   server:203.117.124.14  gid:1036  game:Left 4 Dead 2 ml:1  
name: COD4 1.7 Ukraine Room 1                   id:130957  sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: sP DotA League Room                       id:130958  sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:1  
name: Vietnam Room 02                           id:130960  sid:1   server:203.117.124.14  gid:1036  game:Left 4 Dead 2 ml:1  
name: Thailand Room                             id:130961  sid:1   server:203.117.124.14  gid:1036  game:Left 4 Dead 2 ml:1  
name: CybSport League Room                      id:130962  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Rainforest Cyber Café Brunei              id:130964  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: ProDota.ru Inhouse Room                   id:130965  sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:1  
name: Oversea Chinese Star League               id:130966  sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: MCC League Room (Testing)                 id:130967  sid:6   server:203.117.124.16  gid:1019  game:unknown       ml:1  
name: Dtor DotA Ladder Room                     id:130969  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:18 
name: Goodgame.ru Tournaments Room              id:130970  sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:1  
name: Europe Room 01                            id:130973  sid:1   server:203.117.124.14  gid:1031  game:unknown       ml:1  
name: Kazakhstan Room                           id:130974  sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: Kazakhstan Room                           id:130975  sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Iran DotA Room 07                         id:130977  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: Russia Room                               id:130978  sid:1   server:203.117.124.14  gid:1017  game:Red Alert 3   ml:1  
name: Argentina DotA Room 04 [Moderada]         id:130979  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:3  
name: Korea Room 02                             id:130980  sid:1   server:203.117.124.14  gid:1029  game:Left 4 Dead   ml:3  
name: Asia Room 01                              id:130981  sid:1   server:203.117.124.14  gid:1033  game:unknown       ml:1  
name: USA Room 01                               id:130982  sid:1   server:203.117.124.14  gid:1033  game:unknown       ml:1  
name: International Room 01                     id:130983  sid:1   server:203.117.124.14  gid:1033  game:unknown       ml:1  
name: South America Room 01                     id:130984  sid:1   server:203.117.124.14  gid:1033  game:unknown       ml:1  
name: Europe Room 01                            id:130985  sid:1   server:203.117.124.14  gid:1033  game:unknown       ml:1  
name: Extremely Awesome League                  id:130986  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: International DotA League Room            id:130987  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Binary Evasion Tournament Room            id:130988  sid:1   server:203.117.124.14  gid:1000  game:WC3/TFT       ml:1  
name: Europe Room 01                            id:130989  sid:1   server:203.117.124.14  gid:1032  game:unknown       ml:1  
name: Brazil Room 01                            id:130991  sid:1   server:203.117.124.14  gid:1032  game:unknown       ml:1  
name: South America Room 01                     id:130993  sid:1   server:203.117.124.14  gid:1032  game:unknown       ml:1  
name: ASEAN Room 01                             id:130996  sid:1   server:203.117.124.14  gid:1032  game:unknown       ml:1  
name: CoD4 1.7 Russia Room 02                   id:130997  sid:1   server:203.117.124.14  gid:1018  game:COD4          ml:1  
name: International Room 01                     id:130998  sid:1   server:203.117.124.14  gid:1032  game:unknown       ml:1  
name: USA Room 01                               id:130999  sid:1   server:203.117.124.14  gid:1032  game:unknown       ml:1  
name: RDT - Romania DotA Tournament             id:131003  sid:3   server:203.117.124.12  gid:1001  game:WC3/RPG       ml:1  
name: ChinaNet Room 01                          id:131004  sid:1   server:203.117.124.14  gid:1032  game:unknown       ml:1  
name: Taiwan Room 01                            id:131005  sid:6   server:203.117.124.16  gid:1032  game:unknown       ml:1  
name: Taiwan Room 01                            id:131007  sid:6   server:203.117.124.16  gid:1031  game:unknown       ml:1  
name: ChinaNet Room 01                          id:131010  sid:1   server:203.117.124.14  gid:1031  game:unknown       ml:1  
name: USA Room 01                               id:131011  sid:1   server:203.117.124.14  gid:1031  game:unknown       ml:1  
name: Ecuador DotA Room 04                      id:131013  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: GuerillaMethod DotA VIP Room              id:131014  sid:1   server:203.117.124.14  gid:1012  game:WC3/RPG*      ml:1  
name: Oceania RPG Room 01                       id:131016  sid:1   server:203.117.124.14  gid:1001  game:WC3/RPG       ml:1  
name: International Room 01                     id:131017  sid:1   server:203.117.124.14  gid:1031  game:unknown       ml:1  
